epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.5379,6.52014,5.12336,4.36193,0.58585,0,0,0,0,5.47898,4.33226,3.50678,0.52199,0.0039,0.0013,0.0039,0.0013,0.0039,0.0013,0.0039,0.0013
2,62.7998,6.44922,4.9003,3.98419,0.55281,0,0,0,0,5.47619,4.27994,3.49344,0.50465,0.00809198,0.00269733,0.00809198,0.00269733,0.00809198,0.00269733,0.00809198,0.00269733
3,82.2825,4.66677,3.69759,2.48899,0.47692,0,0,0,0,5.4986,4.26744,3.67371,0.47533,0.0122756,0.00409188,0.0122756,0.00409188,0.0122756,0.00409188,0.0122756,0.00409188
4,101.848,2.66055,2.75574,1.51712,0.40634,0,0,0,0,5.54884,4.31116,4.16022,0.40832,0.016451,0.00548366,0.016451,0.00548366,0.016451,0.00548366,0.016451,0.00548366
5,121.437,2.04867,2.49442,1.38237,0.34298,0,0,0,0,5.58966,4.41458,4.79516,0.31015,0.020618,0.00687268,0.020618,0.00687268,0.020618,0.00687268,0.020618,0.00687268
6,141.599,1.82967,2.42625,1.36497,0.32738,0,0,0,0,5.61135,4.53172,5.33755,0.31835,0.0247767,0.00825891,0.0247767,0.00825891,0.0247767,0.00825891,0.0247767,0.00825891
7,161.402,1.73824,2.33881,1.35755,0.3293,0.01579,1e-05,0.00011,2e-05,5.58114,4.62635,5.54599,0.37482,0.0289271,0.00964238,0.0289271,0.00964238,0.0289271,0.00964238,0.0289271,0.00964238
8,183.983,1.72676,2.24162,1.35448,0.32549,0.03803,0.01553,0.00268,0.00039,3.23541,3.13802,2.53197,0.37792,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,208.402,1.65624,2.16269,1.33711,0.2871,0.13404,0.06106,0.01137,0.00162,1.52255,2.04893,1.14952,0.22507,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,239.985,1.62583,2.0954,1.30909,0.23521,0.23029,0.07421,0.01485,0.00216,1.30017,3.75623,1.0889,0.17184,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,268.765,1.5781,2.03702,1.28079,0.17849,0.1324,0.07956,0.01887,0.00275,1.22033,2.47392,1.06619,0.13566,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,294.827,1.54537,1.94849,1.26792,0.1669,0.14579,0.07859,0.02258,0.00333,1.22363,1.74771,1.02539,0.17504,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,322.643,1.49012,1.8892,1.24276,0.14184,0.15728,0.07745,0.02788,0.00438,1.17482,1.98663,1.0232,0.10931,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,347.686,1.44652,1.86235,1.22946,0.12194,0.27531,0.08284,0.03229,0.00563,1.13746,1.5383,1.01236,0.10171,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,372.601,1.40682,1.82603,1.20537,0.11041,0.2793,0.09822,0.03487,0.00612,1.08274,1.46297,0.98188,0.09038,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,396.906,1.37086,1.79716,1.18792,0.09443,0.29398,0.09982,0.03829,0.00693,1.11602,1.5171,0.98815,0.05933,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,422.256,1.34498,1.77093,1.18743,0.09024,0.27911,0.10774,0.03634,0.00609,1.05119,1.46215,0.98509,0.05976,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,447.348,1.32555,1.73143,1.16857,0.08159,0.19665,0.11401,0.04265,0.0078,1.03709,1.40856,0.96886,0.05917,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,471.595,1.30363,1.7086,1.16326,0.07884,0.18225,0.11439,0.04558,0.00811,1.02372,1.39027,0.96392,0.04408,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,496.585,1.29529,1.70112,1.16053,0.07567,0.19246,0.11912,0.05197,0.00964,1.00356,1.3744,0.94791,0.0479,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,521.01,1.26953,1.68234,1.14728,0.06864,0.21192,0.13818,0.0649,0.01287,0.94526,1.34067,0.94281,0.0467,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,545.498,1.24724,1.67325,1.14432,0.06753,0.30075,0.13793,0.06024,0.01107,0.91917,1.33328,0.93684,0.04192,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,569.253,1.22097,1.6373,1.13086,0.06702,0.30409,0.13408,0.06422,0.01235,0.94376,1.3626,0.9467,0.08636,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,593.397,1.23248,1.63133,1.14085,0.06698,0.31234,0.16181,0.07009,0.01519,0.95116,1.31051,0.93229,0.0368,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,617.277,1.208,1.62974,1.13077,0.05882,0.22292,0.15351,0.08026,0.01701,0.87584,1.34286,0.91817,0.04948,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,641.644,1.19891,1.61032,1.11894,0.06493,0.31976,0.14085,0.07236,0.01428,0.89822,1.37623,0.91519,0.04337,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,665.664,1.19143,1.58134,1.11967,0.06178,0.32143,0.14929,0.06974,0.01287,0.93064,1.32845,0.93825,0.0376,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,689.75,1.16726,1.59325,1.11013,0.06582,0.3205,0.16479,0.07343,0.01574,0.87405,1.33248,0.9117,0.04159,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
