epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.014,5.07457,4.99977,3.52434,0.48431,0,0,0,0,5.93925,5.05748,4.48345,0.52431,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,339.562,2.62916,2.96997,1.79502,0.32079,0.15443,0.08664,0.03639,0.01614,2.13166,2.56912,1.61549,0.23354,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,428.525,1.96898,2.37444,1.46769,0.2135,0.26508,0.09676,0.04424,0.02052,1.82672,2.35194,1.45439,0.15763,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
4,524.103,1.60218,2.08594,1.31988,0.12078,0.20433,0.15637,0.08342,0.04916,1.45429,2.33908,1.30767,0.06258,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,608.751,1.43408,1.92624,1.24446,0.08707,0.30436,0.16479,0.07659,0.04278,1.3281,1.88843,1.17964,0.05045,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,689.013,1.38522,1.85713,1.22057,0.07638,0.33697,0.18107,0.12837,0.08482,1.14383,1.46426,1.1252,0.03932,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,760.507,1.34549,1.757,1.18828,0.0631,0.36086,0.16876,0.12786,0.08595,1.16159,1.45515,1.13418,0.03379,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,840.909,1.29619,1.68277,1.16117,0.05666,0.38775,0.17564,0.14457,0.09822,1.11641,1.38932,1.11879,0.03426,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,920.065,1.27673,1.66086,1.1491,0.04877,0.3388,0.22728,0.15177,0.10304,1.12131,1.31898,1.11278,0.02622,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,1001.07,1.2557,1.62349,1.14342,0.04891,0.45984,0.22608,0.1606,0.11022,1.11575,1.35133,1.11534,0.02639,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,1083.15,1.26358,1.58237,1.13898,0.04745,0.55261,0.20379,0.15088,0.10095,1.16117,1.39549,1.12601,0.02559,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,1155.02,1.23206,1.54891,1.12289,0.04272,0.47649,0.23264,0.17227,0.1206,1.06027,1.25085,1.09367,0.02502,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
13,1231.89,1.23312,1.55367,1.11732,0.04507,0.58367,0.21484,0.17145,0.12157,1.0418,1.22818,1.08316,0.02404,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
14,1310.98,1.21758,1.5086,1.11944,0.04241,0.48135,0.2201,0.17529,0.12272,1.05829,1.27448,1.09431,0.02183,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
15,1389.74,1.19387,1.47853,1.11251,0.04033,0.49792,0.23866,0.18978,0.13324,1.03562,1.17708,1.07718,0.0232,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
16,1470.05,1.19623,1.46411,1.11383,0.03845,0.28905,0.28612,0.19501,0.1372,1.02562,1.1859,1.06969,0.02017,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
17,1548.58,1.19195,1.45291,1.0994,0.04039,0.51184,0.2619,0.20231,0.14056,1.03736,1.17056,1.07713,0.02111,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
18,1627.24,1.19178,1.45445,1.10555,0.03871,0.49209,0.27771,0.20736,0.14738,1.00713,1.14158,1.06121,0.02258,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
19,1706.31,1.19734,1.45121,1.10036,0.03805,0.58316,0.28534,0.20921,0.14807,0.98915,1.12802,1.0606,0.01883,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
20,1775.61,1.17983,1.4352,1.11004,0.03622,0.39203,0.28621,0.21301,0.15192,1.00387,1.13366,1.06093,0.02007,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
21,1845.52,1.17202,1.39136,1.10127,0.0376,0.70359,0.2186,0.20684,0.14779,1.01145,1.13171,1.0702,0.01961,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
22,1915.19,1.16465,1.39688,1.09885,0.03587,0.7093,0.22771,0.21437,0.15329,1.00377,1.10074,1.05869,0.01933,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
23,1984.9,1.15287,1.39532,1.10421,0.03344,0.74941,0.25245,0.23571,0.16359,0.98516,1.09734,1.05729,0.01952,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
24,2056.23,1.15716,1.36893,1.09591,0.0366,0.65719,0.25984,0.22742,0.16132,0.98011,1.09378,1.05265,0.01841,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
25,2126.48,1.14792,1.34784,1.09105,0.03219,0.51329,0.28152,0.22526,0.158,1.03152,1.11279,1.07436,0.01988,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
26,2196.86,1.15236,1.36308,1.09286,0.03595,0.64864,0.26676,0.251,0.17441,0.97739,1.07294,1.05024,0.01799,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
27,2268.53,1.1458,1.36286,1.09019,0.03264,0.67167,0.25306,0.2466,0.17392,0.97181,1.05463,1.05004,0.01836,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
28,2336.36,1.13874,1.35113,1.08016,0.03455,0.66942,0.26418,0.25536,0.17753,0.99078,1.05569,1.05351,0.01691,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
29,2407.35,1.13053,1.33514,1.08939,0.03326,0.67103,0.26661,0.25966,0.18103,0.98274,1.07951,1.04697,0.0179,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
