epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,247.463,5.08258,5.01307,3.52734,0.48421,0,0,0,0,5.94577,5.06014,4.51352,0.52826,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,298.378,2.61788,2.96113,1.79272,0.32099,0.15054,0.07958,0.03338,0.01424,2.20155,2.42741,1.67455,0.25215,0.0198591,0.0066197,0.0198591,0.0066197,0.0198591,0.0066197,0.0198591,0.0066197
3,373.103,1.96394,2.4187,1.46029,0.2065,0.20397,0.11699,0.05456,0.02485,1.68456,5.22378,1.33648,0.12814,0.0298589,0.00995295,0.0298589,0.00995295,0.0298589,0.00995295,0.0298589,0.00995295
4,440.773,1.59494,2.09821,1.32562,0.11877,0.32804,0.1602,0.0933,0.05579,1.34476,3.40148,1.24918,0.06063,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
5,500.142,1.46112,1.92194,1.25596,0.08881,0.40901,0.18587,0.09891,0.0587,1.25475,2.01674,1.18228,0.05491,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961
6,550.717,1.40748,1.8659,1.21488,0.08135,0.36481,0.17798,0.12213,0.07822,1.1816,1.49707,1.15373,0.03876,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
7,596.843,1.31942,1.73186,1.17948,0.06171,0.38974,0.17818,0.13748,0.0923,1.13319,1.50937,1.12743,0.02919,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
8,646.351,1.30922,1.7063,1.16253,0.05651,0.34086,0.18167,0.12822,0.08248,1.23208,1.5284,1.16449,0.03219,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988
9,694.613,1.26809,1.63793,1.14956,0.04903,0.34532,0.21857,0.15363,0.10248,1.12955,1.34256,1.11633,0.032,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
10,744.66,1.24583,1.61175,1.15863,0.04369,0.34341,0.22363,0.15411,0.10498,1.09751,1.3507,1.10136,0.02772,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802
11,797.158,1.23977,1.55426,1.12964,0.0454,0.43253,0.22269,0.15824,0.10714,1.09976,1.36276,1.10571,0.02521,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
12,840.776,1.22272,1.54586,1.12476,0.04205,0.47988,0.24139,0.17432,0.12186,1.04696,1.24265,1.08828,0.02443,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704
13,891.437,1.21459,1.51877,1.11897,0.04214,0.57473,0.21217,0.17341,0.12187,1.03731,1.26453,1.08425,0.02256,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
14,942.856,1.21006,1.50534,1.12103,0.0413,0.50319,0.23052,0.18577,0.13227,1.03462,1.18937,1.07988,0.02212,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587
15,992.637,1.19926,1.47639,1.11459,0.03845,0.60336,0.2316,0.19101,0.13391,1.03863,1.1931,1.08044,0.02162,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
16,1047.32,1.19227,1.46335,1.10815,0.03985,0.38012,0.25827,0.19139,0.13502,1.01675,1.21046,1.07572,0.01973,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
