epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.654,5.00094,0.25889,3.46276,0.48225,0,0,0,0,5.96631,0.11448,4.6051,0.50987,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,279.882,2.59982,0.41077,1.78812,0.31886,0.13675,0.06239,0.02087,0.00858,2.10143,0.50731,1.58391,0.22336,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,372.521,1.93286,0.2342,1.4443,0.19445,0.03623,0.05586,0.01523,0.00585,2.24834,11.6172,1.70592,0.17258,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
4,466.963,1.54248,0.18833,1.3102,0.10347,0.05756,0.10834,0.02837,0.01674,1.38787,0.90001,1.2666,0.07037,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,560.3,1.39612,0.17705,1.23677,0.07422,0.05443,0.10167,0.02689,0.0171,1.19468,0.51609,1.16114,0.04897,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,653.114,1.34405,0.1755,1.19741,0.06583,0.09399,0.09778,0.03865,0.02457,1.2283,0.36967,1.18078,0.03644,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,737.184,1.26578,0.16701,1.16542,0.05442,0.20402,0.15073,0.0709,0.0469,1.12094,0.19033,1.13103,0.04195,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,827.452,1.25721,0.16417,1.14634,0.05089,0.30912,0.17316,0.08248,0.05495,1.09154,0.15928,1.10399,0.02638,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,918.471,1.21781,0.16095,1.13078,0.04599,0.3095,0.16767,0.08094,0.05539,1.07628,0.15303,1.10659,0.02496,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,1011.08,1.1981,0.16123,1.14109,0.04111,0.3189,0.16769,0.0817,0.05622,1.0635,0.16472,1.08866,0.02701,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
