epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.64,1.10907,1.10595,0.94776,0.08148,0.51773,0.48367,0.46454,0.3425,0.94053,0.95383,0.94605,0.0259,0.0197183,0.00657277,0.0197183,0.00657277,0.0868545,0.0737089,0.0197183,0.00657277
2,277.239,1.11768,1.09578,0.96732,0.06332,0.51863,0.3936,0.35939,0.25584,0.96105,1.08738,0.95922,0.02708,0.0397179,0.0132393,0.0397179,0.0132393,0.0735207,0.0470421,0.0397179,0.0132393
3,321.55,1.11593,1.1398,0.99425,0.04216,0.34282,0.35604,0.31423,0.2174,0.97697,1.08523,0.99381,0.02252,0.059716,0.0199053,0.059716,0.0199053,0.0601854,0.0203748,0.059716,0.0199053
4,366.162,1.09194,1.15343,1.00927,0.0364,0.43669,0.3353,0.27919,0.19548,0.97499,1.10507,0.99711,0.02083,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982
5,410.124,1.0871,1.15412,1.0041,0.03818,0.4566,0.33241,0.28125,0.20093,0.94387,1.17215,0.97688,0.02299,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968
6,454.096,1.10112,1.1877,1.00583,0.03868,0.36347,0.37318,0.31464,0.22369,0.96571,1.10082,0.97911,0.02235,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951
7,488.522,1.07554,1.14087,0.99907,0.03857,0.38634,0.39235,0.32146,0.22529,0.97198,0.98721,0.98505,0.01991,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929
8,531.695,1.08427,1.15264,0.99383,0.0387,0.39367,0.38295,0.32293,0.22653,0.96376,1.02425,0.98178,0.02077,0.059971,0.0199903,0.059971,0.0199903,0.059971,0.0199903,0.059971,0.0199903
9,575.329,1.06669,1.13606,0.98865,0.03887,0.34207,0.41626,0.34242,0.24059,0.97396,0.99336,0.98052,0.02285,0.0599621,0.0199874,0.0599621,0.0199874,0.0599621,0.0199874,0.0599621,0.0199874
10,618.254,1.06656,1.13187,1.00205,0.0371,0.50509,0.39007,0.35484,0.24898,0.94973,0.96999,0.97231,0.02221,0.0599521,0.019984,0.0599521,0.019984,0.0599521,0.019984,0.0599521,0.019984
11,662.623,1.06567,1.1127,0.98567,0.03896,0.4877,0.35861,0.31852,0.22874,0.98237,0.99311,0.99982,0.02564,0.0599409,0.0199803,0.0599409,0.0199803,0.0599409,0.0199803,0.0599409,0.0199803
12,697.135,1.06616,1.13493,0.98936,0.03883,0.43427,0.39383,0.36985,0.2636,0.91956,0.95398,0.96648,0.01895,0.0599284,0.0199761,0.0599284,0.0199761,0.0599284,0.0199761,0.0599284,0.0199761
13,739.313,1.05848,1.1338,0.98972,0.03839,0.43161,0.37527,0.33684,0.24436,0.92292,0.95398,0.96711,0.01885,0.0599149,0.0199716,0.0599149,0.0199716,0.0599149,0.0199716,0.0599149,0.0199716
14,782.352,1.06894,1.13885,0.98998,0.04005,0.5201,0.42753,0.39293,0.27596,0.93375,0.93262,0.96551,0.02293,0.0599001,0.0199667,0.0599001,0.0199667,0.0599001,0.0199667,0.0599001,0.0199667
15,824.807,1.05818,1.1169,0.98861,0.03692,0.40887,0.37784,0.3434,0.24704,0.94903,0.96568,0.97171,0.0209,0.0598841,0.0199614,0.0598841,0.0199614,0.0598841,0.0199614,0.0598841,0.0199614
16,868.91,1.06228,1.12805,0.98565,0.03818,0.40297,0.43545,0.3814,0.27259,0.91102,0.92192,0.96543,0.01637,0.059867,0.0199557,0.059867,0.0199557,0.059867,0.0199557,0.059867,0.0199557
17,912.345,1.08417,1.15347,0.98957,0.04126,0.53979,0.37685,0.35853,0.26142,0.89684,0.93565,0.95927,0.01649,0.0598487,0.0199496,0.0598487,0.0199496,0.0598487,0.0199496,0.0598487,0.0199496
18,954.644,1.06608,1.12946,0.99049,0.03909,0.47692,0.39133,0.38027,0.27474,0.91286,0.91986,0.96494,0.01658,0.0598292,0.0199431,0.0598292,0.0199431,0.0598292,0.0199431,0.0598292,0.0199431
19,997.518,1.05867,1.11547,0.98266,0.03824,0.50058,0.37036,0.33906,0.24566,0.92642,0.94502,0.96869,0.01616,0.0598085,0.0199362,0.0598085,0.0199362,0.0598085,0.0199362,0.0598085,0.0199362
20,1031.93,1.0652,1.11805,0.99467,0.0384,0.54361,0.43426,0.39878,0.28864,0.88859,0.90897,0.95697,0.01545,0.0597867,0.0199289,0.0597867,0.0199289,0.0597867,0.0199289,0.0597867,0.0199289
21,1065.92,1.06215,1.12343,0.98994,0.03816,0.5473,0.40159,0.38437,0.27678,0.91668,0.93559,0.96904,0.01789,0.0597637,0.0199212,0.0597637,0.0199212,0.0597637,0.0199212,0.0597637,0.0199212
22,1100.41,1.05905,1.11277,0.99088,0.03823,0.43311,0.43442,0.40794,0.29081,0.89201,0.90119,0.9574,0.01622,0.0597395,0.0199132,0.0597395,0.0199132,0.0597395,0.0199132,0.0597395,0.0199132
23,1134.28,1.05882,1.1183,0.99109,0.03756,0.44794,0.42619,0.39434,0.2888,0.88434,0.88387,0.95373,0.01639,0.0597141,0.0199047,0.0597141,0.0199047,0.0597141,0.0199047,0.0597141,0.0199047
24,1168.52,1.05429,1.11765,0.98594,0.03799,0.51631,0.39797,0.35771,0.25803,0.91921,0.9404,0.97012,0.01863,0.0596876,0.0198959,0.0596876,0.0198959,0.0596876,0.0198959,0.0596876,0.0198959
25,1202.8,1.06054,1.10364,0.99242,0.0371,0.39703,0.40107,0.35733,0.2575,0.9013,0.94045,0.96381,0.01648,0.0596599,0.0198866,0.0596599,0.0198866,0.0596599,0.0198866,0.0596599,0.0198866
26,1236.73,1.05773,1.11512,0.99174,0.03828,0.43302,0.39719,0.37423,0.2648,0.89245,0.9132,0.95558,0.01686,0.059631,0.019877,0.059631,0.019877,0.059631,0.019877,0.059631,0.019877
27,1271.69,1.04189,1.09828,0.98887,0.03618,0.40263,0.39935,0.35922,0.26133,0.89501,0.9369,0.95797,0.0168,0.059601,0.019867,0.059601,0.019867,0.059601,0.019867,0.059601,0.019867
28,1305.55,1.03608,1.10124,0.97647,0.03742,0.49851,0.43441,0.38929,0.28369,0.91014,0.91563,0.9708,0.01592,0.0595698,0.0198566,0.0595698,0.0198566,0.0595698,0.0198566,0.0595698,0.0198566
29,1339.38,1.04275,1.09605,0.98685,0.03744,0.49788,0.38724,0.35267,0.25976,0.90232,0.92846,0.95916,0.01593,0.0595374,0.0198458,0.0595374,0.0198458,0.0595374,0.0198458,0.0595374,0.0198458
30,1373.9,1.04531,1.08898,0.98896,0.03707,0.54296,0.40596,0.39116,0.28458,0.88216,0.91309,0.95612,0.01503,0.0595039,0.0198346,0.0595039,0.0198346,0.0595039,0.0198346,0.0595039,0.0198346
31,1407.88,1.04111,1.10784,0.98527,0.03803,0.41217,0.43096,0.38909,0.2822,0.88962,0.89348,0.9612,0.01712,0.0594691,0.019823,0.0594691,0.019823,0.0594691,0.019823,0.0594691,0.019823
32,1441.44,1.05038,1.10631,0.98815,0.03771,0.56256,0.38718,0.37463,0.27015,0.9161,0.92979,0.96765,0.01538,0.0594333,0.0198111,0.0594333,0.0198111,0.0594333,0.0198111,0.0594333,0.0198111
33,1475.39,1.03718,1.08354,0.97535,0.03596,0.43288,0.42502,0.39173,0.28055,0.89368,0.90549,0.95762,0.01488,0.0593963,0.0197988,0.0593963,0.0197988,0.0593963,0.0197988,0.0593963,0.0197988
34,1510.17,1.05038,1.10849,0.98248,0.03713,0.44997,0.44449,0.41068,0.29735,0.88205,0.89188,0.9567,0.0164,0.0593581,0.019786,0.0593581,0.019786,0.0593581,0.019786,0.0593581,0.019786
35,1552.92,1.05093,1.10588,0.98429,0.03565,0.38037,0.42448,0.36149,0.26524,0.89583,0.99948,0.95952,0.01777,0.0593187,0.0197729,0.0593187,0.0197729,0.0593187,0.0197729,0.0593187,0.0197729
