epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.7703,0.87786,0.84456,0.94682,0.01893,0.71946,0.50207,0.54326,0.41438,0.78895,0.70354,0.92753,0.01096,0.00063,0.00021,0.00063,0.00021,0.00066,0.00024,0.00063,0.00021
2,92.9096,0.86907,0.81994,0.94842,0.01788,0.67812,0.51307,0.5406,0.4117,0.78954,0.70859,0.92808,0.01092,0.000898226,0.000299409,0.000898226,0.000299409,0.000898226,0.000299409,0.000898226,0.000299409
3,125.29,0.8621,0.81812,0.94524,0.01714,0.69469,0.50768,0.5392,0.41234,0.78677,0.7064,0.92748,0.01095,0.000892931,0.000297644,0.000892931,0.000297644,0.000892931,0.000297644,0.000892931,0.000297644
4,158.881,0.84373,0.77895,0.94243,0.01664,0.69623,0.51006,0.53769,0.40972,0.78951,0.70708,0.92815,0.01097,0.0008842,0.000294733,0.0008842,0.000294733,0.0008842,0.000294733,0.0008842,0.000294733
5,192.096,0.84951,0.79521,0.9443,0.01706,0.67462,0.50599,0.53994,0.41235,0.78768,0.70478,0.92786,0.01093,0.000872169,0.000290723,0.000872169,0.000290723,0.000872169,0.000290723,0.000872169,0.000290723
6,225.409,0.86328,0.83099,0.94869,0.01797,0.69072,0.50273,0.53919,0.40969,0.78968,0.7042,0.92801,0.01093,0.000857029,0.000285676,0.000857029,0.000285676,0.000857029,0.000285676,0.000857029,0.000285676
7,259.265,0.84574,0.79711,0.94378,0.01747,0.68996,0.50462,0.54021,0.41182,0.7892,0.70363,0.9278,0.01096,0.000839018,0.000279673,0.000839018,0.000279673,0.000839018,0.000279673,0.000839018,0.000279673
8,292.725,0.85791,0.81127,0.94209,0.01764,0.61724,0.5357,0.54018,0.41181,0.79135,0.70553,0.9288,0.01094,0.00081842,0.000272807,0.00081842,0.000272807,0.00081842,0.000272807,0.00081842,0.000272807
9,325.072,0.84257,0.79709,0.9407,0.01629,0.68743,0.50538,0.54016,0.41139,0.79113,0.70619,0.92871,0.011,0.000795561,0.000265187,0.000795561,0.000265187,0.000795561,0.000265187,0.000795561,0.000265187
10,357.798,0.85185,0.80971,0.95238,0.01659,0.67306,0.51173,0.54015,0.41225,0.79051,0.707,0.92836,0.01092,0.0007708,0.000256933,0.0007708,0.000256933,0.0007708,0.000256933,0.0007708,0.000256933
11,390.719,0.84564,0.79557,0.93883,0.01665,0.63194,0.53025,0.53739,0.40947,0.78971,0.70746,0.92783,0.01098,0.000744529,0.000248176,0.000744529,0.000248176,0.000744529,0.000248176,0.000744529,0.000248176
12,423.953,0.84394,0.809,0.93784,0.01771,0.66401,0.51811,0.54132,0.41226,0.78832,0.70269,0.92755,0.01094,0.000717161,0.000239054,0.000717161,0.000239054,0.000717161,0.000239054,0.000717161,0.000239054
13,457.657,0.84031,0.79853,0.94297,0.01701,0.65942,0.52002,0.54067,0.41149,0.78766,0.70406,0.92759,0.01092,0.000689128,0.000229709,0.000689128,0.000229709,0.000689128,0.000229709,0.000689128,0.000229709
14,490.564,0.86052,0.81848,0.94584,0.01811,0.71426,0.49782,0.54486,0.41612,0.78546,0.70188,0.92673,0.01091,0.000660872,0.000220291,0.000660872,0.000220291,0.000660872,0.000220291,0.000660872,0.000220291
15,523.45,0.84471,0.79359,0.9428,0.01628,0.68335,0.51161,0.54131,0.41273,0.78821,0.70349,0.92782,0.011,0.000632839,0.000210946,0.000632839,0.000210946,0.000632839,0.000210946,0.000632839,0.000210946
16,556.492,0.84501,0.80344,0.93969,0.01719,0.68181,0.51626,0.54285,0.41405,0.78885,0.70241,0.92792,0.01094,0.000605471,0.000201824,0.000605471,0.000201824,0.000605471,0.000201824,0.000605471,0.000201824
17,589.557,0.87257,0.83715,0.94729,0.01886,0.6653,0.51499,0.54266,0.4133,0.78814,0.70255,0.9278,0.01092,0.0005792,0.000193067,0.0005792,0.000193067,0.0005792,0.000193067,0.0005792,0.000193067
