epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,238.408,4.53033,0.31347,3.09774,0.46127,0.03442,0.02364,0.00539,0.00172,2.93517,0.43955,1.92959,0.35043,0.00992958,0.00330986,0.00992958,0.00330986,0.00992958,0.00330986,0.00992958,0.00330986
2,354.579,2.20682,0.30734,1.59974,0.24571,0.25404,0.09566,0.03433,0.01484,1.8927,1.86079,1.35863,0.20427,0.0199294,0.00664313,0.0199294,0.00664313,0.0199294,0.00664313,0.0199294,0.00664313
3,527.628,1.64286,0.1991,1.33275,0.12898,0.06247,0.09409,0.03432,0.01892,1.46391,0.84501,1.27484,0.08838,0.0299284,0.00997614,0.0299284,0.00997614,0.0299284,0.00997614,0.0299284,0.00997614
4,700.567,1.40418,0.17858,1.23578,0.07852,0.16754,0.09896,0.04076,0.02635,1.19045,0.39236,1.17923,0.04295,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,872.394,1.28881,0.16902,1.18902,0.05589,0.19113,0.1418,0.05949,0.03869,1.09062,0.18034,1.11856,0.03167,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,1042.08,1.24863,0.16444,1.15362,0.04962,0.21246,0.14036,0.06413,0.04393,1.06762,0.17619,1.09994,0.02367,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,1213.81,1.2297,0.16194,1.13441,0.04671,0.39536,0.14079,0.06993,0.04908,1.03903,0.15454,1.08146,0.02425,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,1384.82,1.20874,0.16124,1.12511,0.04361,0.41546,0.16813,0.08233,0.05799,1.03628,0.14613,1.07983,0.02543,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,1548.18,1.20029,0.15853,1.10705,0.04299,0.52757,0.14868,0.07771,0.0551,1.00244,0.15372,1.06373,0.02192,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,1712.2,1.1723,0.15656,1.10733,0.04056,0.41014,0.13623,0.07611,0.05331,1.02644,0.14993,1.07379,0.01986,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,1874.47,1.17421,0.15603,1.10298,0.0411,0.62378,0.1564,0.08722,0.0617,0.9782,0.14753,1.04763,0.02023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,2035.87,1.14921,0.15362,1.09053,0.03858,0.60635,0.15135,0.07946,0.05623,1.00108,0.148,1.05859,0.01925,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
