epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,231.993,5.00094,0.25889,3.46276,0.48225,0,0,0,0,5.96631,0.11448,4.6051,0.50987,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,278.276,2.59982,0.41077,1.78812,0.31886,0.13675,0.06239,0.02087,0.00858,2.10143,0.50731,1.58391,0.22336,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,371.102,1.93286,0.2342,1.4443,0.19445,0.03627,0.05587,0.01564,0.00607,2.24834,11.6172,1.70592,0.17258,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
4,466.173,1.54248,0.18833,1.3102,0.10347,0.05762,0.10834,0.02842,0.01677,1.38787,0.90001,1.2666,0.07037,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,559.248,1.39612,0.17705,1.23677,0.07422,0.05453,0.10168,0.02694,0.01713,1.19468,0.51609,1.16114,0.04897,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,653.067,1.34405,0.1755,1.19741,0.06583,0.09392,0.09797,0.03879,0.02463,1.2283,0.36967,1.18078,0.03644,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,737.466,1.26578,0.16701,1.16542,0.05442,0.20385,0.15074,0.07086,0.04688,1.12094,0.19033,1.13103,0.04195,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,827.575,1.25721,0.16417,1.14634,0.05089,0.3091,0.17259,0.08211,0.05474,1.09154,0.15928,1.10399,0.02638,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,919.604,1.21781,0.16095,1.13078,0.04599,0.30953,0.16796,0.08104,0.05547,1.07628,0.15303,1.10659,0.02496,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,1011.88,1.1981,0.16123,1.14109,0.04111,0.31897,0.16732,0.08161,0.05613,1.06349,0.16472,1.08864,0.02701,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,1105.53,1.1887,0.15752,1.11015,0.04108,0.32358,0.15708,0.08084,0.05657,1.04218,0.15864,1.08481,0.02204,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,1187.22,1.18309,0.15733,1.10849,0.04156,0.43078,0.19461,0.10457,0.07411,1.01291,0.14391,1.05954,0.02256,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
