epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.6515,2.47736,3.77753,1.71434,0.41152,0,0,0,0,1.49114,3.40924,1.13174,0.45959,0.0097561,0.00325203,0.0097561,0.00325203,0.0097561,0.00325203,0.0097561,0.00325203
2,56.5709,1.53281,2.02686,1.22031,0.1574,0.03533,0.11385,0.02321,0.00369,1.34782,2.16901,1.06921,0.16597,0.0196909,0.00656363,0.0196909,0.00656363,0.0196909,0.00656363,0.0196909,0.00656363
3,77.3297,1.43271,1.8937,1.17268,0.0995,0.18035,0.14485,0.04004,0.00762,1.29718,3.19293,1.07969,0.1015,0.0295597,0.00985324,0.0295597,0.00985324,0.0295597,0.00985324,0.0295597,0.00985324
4,116.654,1.35074,1.79154,1.13513,0.08041,0.36166,0.12294,0.02782,0.00525,1.22509,11.937,1.05178,0.08318,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,143.336,1.27159,1.67113,1.11001,0.06996,0.49682,0.12915,0.05002,0.00906,1.12119,3.46621,1.00037,0.06081,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,165.848,1.20709,1.61373,1.09514,0.06605,0.49269,0.14674,0.06029,0.01101,1.0631,2.58338,0.99766,0.09026,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,186.508,1.18057,1.5685,1.07956,0.06797,0.13804,0.17314,0.08356,0.01833,0.94519,1.52465,0.95738,0.04386,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,206.431,1.14054,1.52744,1.05946,0.06674,0.1226,0.16647,0.07701,0.01572,0.94678,1.52949,0.96032,0.05921,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,227.285,1.12077,1.51838,1.06088,0.06461,0.43468,0.15701,0.08016,0.01589,0.90483,1.60347,0.93596,0.04694,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,246.843,1.0989,1.47771,1.03771,0.06332,0.566,0.14802,0.0819,0.01893,0.90853,1.50898,0.88166,0.07946,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,266.471,1.08087,1.47017,1.00163,0.07407,0.44934,0.16906,0.09249,0.0189,0.91947,1.3448,0.88728,0.06794,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,287.022,1.06844,1.45823,0.97165,0.07159,0.23975,0.18101,0.09389,0.01849,0.89991,1.35511,0.87651,0.04541,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,309.543,1.05211,1.44346,0.95849,0.06829,0.34386,0.15431,0.07743,0.01557,0.94636,1.74497,0.88111,0.05581,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,330.244,1.04307,1.42752,0.94769,0.06834,0.35899,0.17971,0.09723,0.01886,0.94483,1.38674,0.87065,0.04047,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,350.116,1.01981,1.40326,0.94011,0.05904,0.35068,0.19148,0.10317,0.02051,0.84523,1.29734,0.8545,0.04426,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,370.275,1.004,1.3918,0.9371,0.06125,0.38023,0.19885,0.11488,0.02486,0.82499,1.27305,0.84165,0.04536,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,390.073,0.98713,1.38496,0.93196,0.0591,0.16091,0.21345,0.11984,0.02721,0.79425,1.18611,0.83493,0.03446,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,409.985,0.98186,1.38102,0.92639,0.05668,0.35399,0.21149,0.09966,0.02045,0.86365,1.32286,0.84825,0.03323,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
